45,"76ers confirm Joel Embiid dealing with minor knee soreness","Informational / News / Update"
46,"Hot take: defense is undervalued in MVP conversations every year","Hot Take / Reactionary Opinion"
47,"[Clip] Anthony Edwards chase-down block in transition","Informational / News / Update"
48,"The he just needs help discourse is exhausting every offseason","Meme / Humor"
49,"Warriors experimenting with new starting lineup combinations","Informational / News / Update"
50,"Paolo Banchero developing into a true franchise cornerstone","Analytical"
51,"[Highlight] Curry behind-the-back pass to corner three","Informational / News / Update"
52,"Every fanbase thinks their star is most disrespected now","Meme / Humor"
53,"Nets evaluating trade market for veteran wing players","Informational / News / Update"
54,"Hot take: pace-and-space era inflated offensive stats across board","Hot Take / Reactionary Opinion"
55,"[Clip] Zion bulldozes through defense for and-one dunk","Informational / News / Update"
56,"r/nba after one bad game: he's washed immediately","Meme / Humor"
57,"NBA announces schedule changes for national TV games","Informational / News / Update"
58,"Jamal Murray playoff performances still underrated historically","Hot Take / Reactionary Opinion"
59,"[Highlight] Lillard deep pull-up three from 30 feet","Informational / News / Update"
60,"Every trade deadline rumor includes 3 team deal possible","Meme / Humor"
61,"Cavs focusing on defensive rebounding improvements","Informational / News / Update"
62,"Hot take: Luka is the best offensive engine in the league","Hot Take / Reactionary Opinion"
63,"[Clip] Mitchell steals and scores in transition","Informational / News / Update"
64,"He doesn't pass the eye test discourse back again","Meme / Humor"
65,"Spurs emphasize Wembanyama development plan long-term","Informational / News / Update"
66,"Klay Thompson still one of the greatest movement shooters ever","Hot Take / Reactionary Opinion"
67,"[Highlight] Giannis coast-to-coast dunk through contact","Informational / News / Update"
68,"Refs are having a historically inconsistent season imo","Hot Take / Reactionary Opinion"
69,"Heat coach praises team culture amid injuries","Informational / News / Update"
70,"Hot take: advanced stats are overused in MVP debates","Hot Take / Reactionary Opinion"
71,"[Highlight] Jokic no-look assist through double team","Informational / News / Update"
72,"Someone posts best role player ever every 3 hours here","Meme / Humor"
73,"Thunder continue dominant defensive stretch midseason","Informational / News / Update"
74,"Franz Wagner quietly becoming elite two-way forward","Analytical"
75,"Hot take: perimeter defense is more important than rim protection now","Hot Take / Reactionary Opinion"
76,"[Clip] Booker clutch midrange jumper to win game","Informational / News / Update"
77,"He got cooked clip goes viral again","Meme / Humor"
78,"NBA investigates tampering allegations in offseason deals","Informational / News / Update"
79,"Sabonis is the most underrated passing big in league","Hot Take / Reactionary Opinion"
80,"Hot take: championship narratives matter too much in rankings","Hot Take / Reactionary Opinion"
id,text,label
81,"[Highlight] Ant Edwards 360 layup in transition","Informational / News / Update"
82,"Every thread becomes GOAT debate somehow","Meme / Humor"
83,"Pelicans optimistic about playoff push after winning streak","Informational / News / Update"
84,"Jalen Williams emerging as elite complementary star","Analytical"
85,"Hot take: spacing > talent in modern NBA success","Hot Take / Reactionary Opinion"
86,"[Clip] Curry game-winner off dribble screen","Informational / News / Update"
87,"This team is frauds posts after single loss","Meme / Humor"
88,"NBA releases All-Star voting early returns","Informational / News / Update"
89,"Mikal Bridges praised for durability and consistency","Analytical"
90,"Hot take: coaching impact is undervalued vs star power","Hot Take / Reactionary Opinion"
91,"[Highlight] LeBron chasedown block in clutch moment","Informational / News / Update"
92,"Every fan thinks their team has worst refs in league","Meme / Humor"
93,"Bucks adjust rotation ahead of back-to-back games","Informational / News / Update"
94,"Desmond Bane developing into elite shooting guard","Analytical"
95,"Hot take: isolation basketball is making a comeback","Hot Take / Reactionary Opinion"
96,"[Clip] Wemby blocks shot into stands then scores","Informational / News / Update"
97,"He's him used unironically in every thread now","Meme / Humor"
98,"NBA fines player for technical foul accumulation","Informational / News / Update"
99,"Tyrese Maxey breakout season analysis continues","Analytical"
100,"Hot take: efficiency stats don't capture playoff pressure","Hot Take / Reactionary Opinion"
101,"[Highlight] Dame logo three in crunch time","Informational / News / Update"
102,"Why is every role player suddenly untouchable in trades","Meme / Humor"
103,"Celtics adjust defensive rotations after loss","Informational / News / Update"
104,"Scottie Barnes improving as primary creator","Analytical"
105,"Hot take: rebounds are overrated in modern analytics","Hot Take / Reactionary Opinion"
106,"[Clip] Ja Morant explosive dunk in traffic","Informational / News / Update"
107,"r/nba overreacting to preseason game again","Meme / Humor"
108,"NBA expands international game schedule","Informational / News / Update"
109,"Austin Reaves emerging as key rotation piece","Analytical"
110,"Hot take: clutch stats are more noise than signal","Hot Take / Reactionary Opinion"
111,"[Highlight] KD smooth pull-up over defender","Informational / News / Update"
112,"Every trade rumor season feels identical","Meme / Humor"
113,"Warriors monitoring Draymond conditioning closely","Informational / News / Update"
114,"Chet Holmgren showing elite rim protection instincts","Analytical"
115,"Hot take: spacing era made defense look worse than it is","Hot Take / Reactionary Opinion"
116,"[Clip] Haliburton full-court pass for easy bucket","Informational / News / Update"
117,"He's washed after one bad quarter strikes again","Meme / Humor"
118,"NBA reviews last-two-minute report controversy","Informational / News / Update"
119,"Brandon Ingram midrange efficiency analysis rising","Analytical"
120,"Hot take: MVP should always go to best offensive player","Hot Take / Reactionary Opinion"
120.0,"Hot take MVP should always go to best offensive player",Hot Take / Reactionary Opinion
121.0,"[Highlight] Giannis eurostep through entire defense",Informational / News / Update
122.0,"Every fanbase thinks they discovered ‘hidden gem’ players",Meme / Humor
123.0,"Lakers experimenting with closing lineups",Informational / News / Update
124.0,"Jalen Green scoring consistency improving",Analytical 
125.0,"Hot take defense wins championships is outdated framing",Hot Take / Reactionary Opinion
126.0,"[Clip] Curry deep three from logo again",Informational / News / Update
127.0,"‘We need to blow it up’ after one loss thread",Meme / Humor
128.0,"NBA announces midseason tournament format tweaks",Informational / News / Update
129.0,"OG Anunoby elite wing defense recognition growing",Analytical 
130.0,"Hot take bench depth matters more than superstars in playoffs",Hot Take / Reactionary Opinion
131.0,"[Highlight] Embiid and-one through contact",Informational / News / Update
132.0,"Every thread becomes ‘top 5 list’ debate somehow",Meme / Humor
133.0,"Knicks continue strong defensive rating streak",Informational / News / Update
134.0,"Alperen Şengün playmaking from post drawing attention",Analytical 
135.0,"Hot take analytics undervalue midrange scoring completely",Hot Take / Reactionary Opinion
136.0,"[Clip] Ant Edwards poster dunk in transition",Informational / News / Update
137.0,"‘Trade him now’ discourse after single bad game",Meme / Humor
138.0,"NBA issues statement on officiating review process",Informational / News / Update
139.0,"De’Aaron Fox clutch time performance analysis",Analytical 
140.0,"Hot take true skill gap in NBA is smaller than perceived",Hot Take / Reactionary Opinion
141.0,"[Highlight] Jokic behind-the-back assist in paint",Informational / News / Update
142.0,"Every fanbase thinks they ‘deserve better coach’",Meme / Humor
143.0,"Heat emphasize conditioning for playoff push",Informational / News / Update
144.0,"Paolo Banchero usage rate rising significantly",Analytical 
145.0,"Hot take spacing era has inflated assist numbers",Hot Take / Reactionary Opinion
146.0,"[Clip] Lillard clutch three over double team",Informational / News / Update
147.0,"‘He’s the next MJ’ after one good game",Meme / Humor
148.0,"NBA schedules international exhibition games",Informational / News / Update
149.0,"Myles Turner defensive rim protection metrics strong",Analytical 
150.0,"Hot take clutch gene is mostly narrative bias",Hot Take / Reactionary Opinion
151.0,"[Highlight] Curry no-look pass in transition",Informational / News / Update
152.0,"Every offseason trade idea includes 5 teams somehow",Meme / Humor
153.0,"Thunder continue elite defensive efficiency stretch",Informational / News / Update
154.0,"Jalen Williams emerging two-way star profile",Analytical 
155.0,"Hot take modern NBA overvalues three-point volume",Hot Take / Reactionary Opinion
156.0,"[Clip] Zion monster dunk through contact",Informational / News / Update
157.0,"‘This is the worst era of basketball’ takes again",Meme / Humor
158.0,"NBA fines player for flopping violation",Informational / News / Update
159.0,"Franz Wagner efficiency leap analysis",Analytical 
160.0,"Hot take defense is harder to evaluate than offense",Hot Take / Reactionary Opinion
161.0,"[Highlight] Booker clutch fadeaway jumper",Informational / News / Update
162.0,"Every fanbase thinks refs are biased against them",Meme / Humor
163.0,"Bucks adjust playoff rotation strategy",Informational / News / Update
164.0,"Chet Holmgren defensive impact metrics rising",Analytical 
165.0,"Hot take role players decide more games than stars",Hot Take / Reactionary Opinion
166.0,"[Clip] Ja Morant insane reverse layup",Informational / News / Update
167.0,"‘He’s top 10 all time already’ after highlight clip",Meme / Humor
168.0,"NBA releases All-NBA early projections",Informational / News / Update
169.0,"Tyrese Maxey offensive leap analysis",Analytical 
170.0,"Hot take team chemistry is overrated in modern NBA",Hot Take / Reactionary Opinion
171.0,"[Highlight] KD clutch pull-up over defender",Informational / News / Update
172.0,"Every loss thread turns into panic rebuild talk",Meme / Humor
173.0,"NBA investigates resting policy compliance",Informational / News / Update
174.0,"Bridges consistency as elite 3-and-D wing",Analytical 
175.0,"Hot take MVP voting is too narrative-driven",Hot Take / Reactionary Opinion
176.0,"[Clip] Curry 35-footer buzzer beater celebration",Informational / News / Update
177.0,"‘We’re cooked’ after halftime deficit posts",Meme / Humor
178.0,"NBA expands referee transparency report system",Informational / News / Update
179.0,"Sabonis elite passing big analysis continues",Analytical 
180.0,"Hot take perimeter scoring now outweighs everything else",Hot Take / Reactionary Opinion
181.0,"[Highlight] Giannis fastbreak dunk through traffic",Informational / News / Update
182.0,"Every thread devolves into GOAT debate instantly",Meme / Humor
183.0,"League reviews controversial no-call in final seconds",Informational / News / Update
184.0,"Anthony Edwards rising superstar trajectory discussion",Analytical 
185.0,"Hot take playoff experience matters more than talent",Hot Take / Reactionary Opinion
186.0,"[Clip] Haliburton stepback three in clutch",Informational / News / Update
187.0,"‘He’s him’ spam in every highlight thread",Meme / Humor
188.0,"NBA releases midseason award tracker update",Informational / News / Update
189.0,"Mikal Bridges durability and defensive value analysis",Analytical 
190.0,"Hot take spacing is the single most important NBA factor",Hot Take / Reactionary Opinion
191.0,"[Highlight] Wembanyama block-to-fastbreak dunk sequence",Informational / News / Update
192.0,"[Highlight] LeBron and AD close out game with back-to-back stops",Informational / News / Update
193.0,"NBA announces player of the week: Jokic averages triple-double",Informational / News / Update
194.0,"Hot take the gap between contenders and play-in teams is shrinking",Informational / News / Update
195.0,"r/nba after one possession: ‘worst offense I’ve ever seen’",Meme / Humor
196.0,"Paolo Banchero drops 40 in win, continues breakout season narrative",Informational / News / Update
197.0,"[Clip] Curry quick-release three off inbound play",Informational / News / Update
198.0,"Refs miss late call again, postgame report fuels debate",Informational / News / Update
199.0,"Hot take superstar shot creation matters more than system offense",Hot Take / Reactionary Opinion
200.0,"[Highlight] Wembanyama full-court block le",Informational / News / Update
